Term,Acronym,Description
One Cisco Hierarchy,1CH,TBD
3rd Party Logistics ,3PL,"Firm that provides a one stop shop service to its customers of outsourced (or ""third party"") logistics services for part, or all of their supply chain management functions."
Reflect Refocus and Reinvigorate,3Rs,TBD
Advanced Compliance and Social Responsibility,ACnSR,Functional Group in Global Business Operations
Accelerated Cisco Transformation,ACT,"A phased initiative focused on ensuring we have a holistic view of our end-to-end offerings to our customers, that operations are aligned to business needs, and that we have best in class go-to-market capabilities across the company."
Assembly Cost Write back,ACW,TBD
Acquisition Excellence Team,AET,A steering committee made up of directors across Supply Chain Ops tasked with steering the actions of the acquisition integration teams within SCO.
Analytical Forecasting,AF,TBD
Acquisition Integration,AI,"Acquisition Integration is dedicated to managing the successful integration of companies into Supply Chain Ops (SCO), focusing on planning functions.  Acquisitions are a primary part of the Cisco growth strategy and require innovation and creativity for successful integration. "
Action Item,AI,TBD
Advanced Manufacturing Technology,AMT,Part of TnQ
Additional Product Demand ,APD,Non-Revenue Forecast
American Productivity and Quality Center,APQC,"As an APQC member, Cisco has access to more than 30 years of best-practice research for effective process and performance improvement methods and metrics. To gain access to the world’s largest database of benchmarks, visit www.apqc.org/user/register."
Audio Privacy Room ,APR ,Rooms within the new CCW (Cisco Connected Workspace) environment that are to be used for telephone conversations or meetings. 
ATP Rejections Commit,ARC,"Form used to manually schedule orders that have failed the automated scheduling process: Manufacturing Planner will try to schedule the order to the max PF Goal, if possible (historic order lead times, maintained by CPnF team). "
Advanced Supply Chain Planning,AS,TBD
Architecture Solutions Engineering ,ASE,a CVCM-IT Team
Accelerated Solution Environment,ASE,TBD
Application Specific Integrated Circuit,ASIC,TBD
Achieved Service Level,ASL,TBD
Advance Shipment Notification,ASN,TBD
Average Sales Price,ASP,TBD
Assemble To Order,ATO,TBD
Available To Promise,ATP,Same as CTP in CSCO; it is based on Supply Based scheduling (instead of Lead time based scheduling)
Application Technology Services,ATS,TBD
Approved Vendor List,AVL,"A list of records that describes the vendor (or manufacturer) parts for a Cisco item number. Each record contains a vendor name, vendor part number, and the qualification status of that record"
Automated Vendor Purchase,AVP,Engine within Oracle The invoicing and payment method for turnkey manufacturing.
Automated Vendor Payment,AVP,Engine within Oracle The invoicing and payment method for turnkey manufacturing.
Business to Business ,B2B,"A transaction that occurs between two companies, as opposed to a transaction involving a consumer. The term may also describe a company that provides goods or services for another company."
Backlog Analysis Report,BAR,"Application/Tool used by Global DF teams to perform Backlog Management. (Sales Order Configuration check, Revenue n LT Analysis, etc.) Documentation n BAR Reports are found here: \\bxb1-netapp02a\wg-m\mfg_ops_oem\Published\BAR-Formatted "
Business Acceptance Testing,BAT,This testing cycle engages the Core Project members int he execution of a comprehensive suite of end-to-end test scenarios.  The Core team certifies that the design is functioning in accordance with business requirements/specifications and it is ready for User Acceptance Testing (UAT)
Baseline Application Vulnerablity Assessment,BAVA,BAVA is an InfoSec self-service security assessment tool for applications. Baseline Application Vulnerability Assessment (BAVA)
Build Commit,BC,TBD
Business Commit,BC,The first gate review in the CVCM business project life cycle. http://wwwin.cisco.com/mfg/organizations/gbo/gposp/plc_jobaid/start_job_aid.htm
Bulk External Expenditure Policy,BEEP,Replaces summary billing as the payment process for direct fulfillment (DF) bulk materials.
Business Layer,BL,TBD
Business Operations Systems Technology Framework,BOST,TBD
