Term,Acronym,Description,Categories
Account Manager,AM,Manages the product sales side of business.,
Asia Pacific,APAC,Asia Pacific Theater of Cisco’s business model.,
Advanced Services Delivery Workspace-Content Management,ASDW CM,Document storage of all dualsigned SOWs and customer information. Also known as CKC.,
Advanced Services Ordering Document,ASOD,Output of ASPT,
Advanced Services Pricing Tool,ASPT,Subscription quoting tool.,
Advanced Services Subscription,AS-S,Advanced Services Subscription.,
Advanced Services Transaction,AS-T,"Advanced Services engagements that are project or task specific, performed through a SOW or SME Agreement.",
Business Development Manager,BDM,Business Development Manager/Business Operations Manager. Provides account/contract oversight and P&L responsibility on all Subscription and Transactions deals.,
Business Operations Manager,BOM,Business Development Manager/Business Operations Manager. Provides account/contract oversight and P&L responsibility on all Subscription and Transactions deals.,
Business Objects,BO,"Provides business intelligence software and solutions including enterprise reporting, query and analysis, data integration, and performance management tools.",
Click to Accept,C2A,Method to electronically sign documents. Both Customer and Cisco can sign using this program.,
Commercial Contracts Team,CCT,AS Global Deal Hub: Commercial Contracts Team (EUEM). Responsible for reviewing and approving all AS-T SOWs in EUEM theater.,
Cisco Knowledge Connection,CKC,"Also known as ASDW. AS Subscription delivery tool, Project Management tool, and document storage of all dual signed SOWs and customer information.",
Contract Management System,CMS,Allows authorized users to populate various types of agreements into a contracts database along with certain information about each agreement. Agreements are stored as scanned images. CMS is part of CKC.,
Corporate Revenue,Corp Rev,"Corporate Revenue team. Functional organization which provides revenue guidance to optimize deal structure, makes revenue assessment, and sets revenue policy (also known as Rev PG&D)",
Contract Management Team,CMT,AS Global Deal Hub: Contract Management Team (US/CAN). Responsible for reviewing and approving all AS-T SOWs in US/Canada theater. Email address: uscan_contracts@cisco.com,
Cost of Goods Sold,COGS,"Represent a figure for the cost of buying raw material and producing finished goods. Included are precise factors, i.e. material and factory labor; as well as others that are variable, such as factory overhead.",
Cisco Service Contract Center,CSCC,"Used to book AS Subscription Sales Orders. Required items are Deal ID (DID), ASPT Quote, and Project ID (PID).",
Client Services Executive,CSE,Client Services Executive,
